TYPE,DEAL,SYMBOL,TIME_GENERATED,POSITION_ID,STRATEGY_ID,EXCHANGE,VOLUME,PRICE,SIGNAL_TYPE,COMMISSION,SWAP,FEE,GROSS_PROFIT,CCY
FILL,IN,AAPL,2017-07-14 00:00:00+00:00,200000001,461579542,MT5_SIM,1.0,37.00,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-07-14 00:01:00+00:00,200000001,461579542,MT5_SIM,1.0,37.20,SELL,0.020,0.0,0.0,0.2000,USD
FILL,IN,AAPL,2017-07-22 00:00:00+00:00,200000003,461579542,MT5_SIM,1.0,37.65,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-07-24 00:01:00+00:00,200000003,461579542,MT5_SIM,1.0,37.95,SELL,0.020,0.0,0.0,0.3000,USD
FILL,IN,AAPL,2017-07-29 00:00:00+00:00,200000005,461579542,MT5_SIM,1.0,37.48,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-08-02 00:01:00+00:00,200000005,461579542,MT5_SIM,1.0,39.26,SELL,0.020,0.0,0.0,1.7800,USD
FILL,IN,AAPL,2017-08-05 00:00:00+00:00,200000007,461579542,MT5_SIM,1.0,39.27,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-09-12 00:01:00+00:00,200000007,461579542,MT5_SIM,1.0,39.96,SELL,0.020,0.0,0.0,0.6900,USD
FILL,IN,AAPL,2017-09-14 00:00:00+00:00,200000009,461579542,MT5_SIM,1.0,39.75,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-09-18 00:01:00+00:00,200000009,461579542,MT5_SIM,1.0,39.87,SELL,0.020,0.0,0.0,0.1200,USD
FILL,IN,AAPL,2017-09-20 00:00:00+00:00,200000011,461579542,MT5_SIM,1.0,39.48,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-09-25 00:01:00+00:00,200000011,461579542,MT5_SIM,1.0,37.94,SELL,0.020,0.0,0.0,-1.5400,USD
FILL,IN,AAPL,2017-09-27 00:00:00+00:00,200000013,461579542,MT5_SIM,1.0,38.46,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-09-27 00:01:00+00:00,200000013,461579542,MT5_SIM,1.0,38.47,SELL,0.020,0.0,0.0,0.0100,USD
FILL,IN,AAPL,2017-09-30 00:00:00+00:00,200000015,461579542,MT5_SIM,1.0,38.57,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-10-02 00:01:00+00:00,200000015,461579542,MT5_SIM,1.0,38.50,SELL,0.020,0.0,0.0,-0.0700,USD
FILL,IN,AAPL,2017-10-04 00:00:00+00:00,200000017,461579542,MT5_SIM,1.0,38.41,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-10-04 00:01:00+00:00,200000017,461579542,MT5_SIM,1.0,38.54,SELL,0.020,0.0,0.0,0.1300,USD
FILL,IN,AAPL,2017-10-06 00:00:00+00:00,200000019,461579542,MT5_SIM,1.0,38.75,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-10-06 00:01:00+00:00,200000019,461579542,MT5_SIM,1.0,38.95,SELL,0.020,0.0,0.0,0.2000,USD
FILL,IN,AAPL,2017-10-12 00:00:00+00:00,200000021,461579542,MT5_SIM,1.0,39.09,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-10-12 00:01:00+00:00,200000021,461579542,MT5_SIM,1.0,39.18,SELL,0.020,0.0,0.0,0.0900,USD
FILL,IN,AAPL,2017-10-14 00:00:00+00:00,200000023,461579542,MT5_SIM,1.0,39.48,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-10-17 00:01:00+00:00,200000023,461579542,MT5_SIM,1.0,40.10,SELL,0.020,0.0,0.0,0.6200,USD
FILL,IN,AAPL,2017-10-20 00:00:00+00:00,200000025,461579542,MT5_SIM,1.0,39.16,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-10-25 00:01:00+00:00,200000025,461579542,MT5_SIM,1.0,39.30,SELL,0.020,0.0,0.0,0.1400,USD
FILL,IN,AAPL,2017-10-27 00:00:00+00:00,200000027,461579542,MT5_SIM,1.0,39.83,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-10-27 00:01:00+00:00,200000027,461579542,MT5_SIM,1.0,40.97,SELL,0.020,0.0,0.0,1.1400,USD
FILL,IN,AAPL,2017-10-31 00:00:00+00:00,200000029,461579542,MT5_SIM,1.0,41.98,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-11-07 00:01:00+00:00,200000029,461579542,MT5_SIM,1.0,43.66,SELL,0.020,0.0,0.0,1.6800,USD
FILL,IN,AAPL,2017-11-14 00:00:00+00:00,200000031,461579542,MT5_SIM,1.0,43.26,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-12-06 00:01:00+00:00,200000031,461579542,MT5_SIM,1.0,42.25,SELL,0.020,0.0,0.0,-1.0100,USD
FILL,IN,AAPL,2017-12-12 00:00:00+00:00,200000033,461579542,MT5_SIM,1.0,43.04,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-12-18 00:01:00+00:00,200000033,461579542,MT5_SIM,1.0,43.75,SELL,0.020,0.0,0.0,0.7100,USD
FILL,IN,AAPL,2017-12-21 00:00:00+00:00,200000035,461579542,MT5_SIM,1.0,43.55,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-12-22 00:01:00+00:00,200000035,461579542,MT5_SIM,1.0,42.70,SELL,0.020,0.0,0.0,-0.8500,USD
FILL,IN,AAPL,2017-12-28 00:00:00+00:00,200000037,461579542,MT5_SIM,1.0,42.76,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2017-12-28 00:01:00+00:00,200000037,461579542,MT5_SIM,1.0,42.63,SELL,0.020,0.0,0.0,-0.1300,USD
FILL,IN,AAPL,2018-01-03 00:00:00+00:00,200000039,461579542,MT5_SIM,1.0,43.14,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2018-01-03 00:01:00+00:00,200000039,461579542,MT5_SIM,1.0,43.13,SELL,0.020,0.0,0.0,-0.0100,USD
FILL,IN,AAPL,2018-01-05 00:00:00+00:00,200000041,461579542,MT5_SIM,1.0,43.37,BUY,0.020,0.0,0.0,0.0,USD
FILL,OUT,AAPL,2018-01-05 00:01:00+00:00,200000041,461579542,MT5_SIM,1.0,43.58,SELL,0.020,0.0,0.0,0.2100,USD
FILL,IN,AAPL,2018-01-11 00:00:00+00:00,200000043,461579542,MT5_SIM,1.0,43.65,BUY,0.020,0.0,0.0,0.0,USD
