DATETIME,BALANCE,EQUITY
2017-01-03,100000,100000.0
2017-01-04,100000,100000.0
2017-01-05,100000,100000.0
2017-01-06,100000,100000.0
2017-01-09,100000,100000.0
2017-01-10,100000,100000.0
2017-01-11,100000,100000.0
2017-01-12,100000,100000.0
2017-01-13,100000,100000.0
2017-01-17,100000,100000.0
2017-01-18,100000,100000.0
2017-01-19,100000,100000.0
2017-01-20,100000,100000.0
2017-01-23,100000,100000.0
2017-01-24,100000,100000.0
2017-01-25,100000,100000.0
2017-01-26,100000,100000.0
2017-01-27,100000,100000.0
2017-01-30,100000,100000.0
2017-01-31,100000,100000.0
2017-02-01,100000,100000.0
2017-02-02,100000,100000.0
2017-02-03,100000,100000.0
2017-02-06,100000,100000.0
2017-02-07,100000,100000.0
2017-02-08,100000,100000.0
2017-02-09,100000,100000.0
2017-02-10,100000,100000.0
2017-02-13,100000,100000.0
2017-02-14,100000,100000.0
2017-02-15,100000,100000.0
2017-02-16,100000,100000.0
2017-02-17,100000,100000.0
2017-02-21,100000,100000.0
2017-02-22,100000,100000.0
2017-02-23,100000,100000.0
2017-02-24,100000,100000.0
2017-02-27,100000,100000.0
2017-02-28,100000,100000.0
2017-03-01,100000,100000.0
2017-03-02,100000,100000.0
2017-03-03,100000,100000.0
2017-03-06,100000,100000.0
2017-03-07,100000,100000.0
2017-03-08,100000,100000.0
2017-03-09,100000,100000.0
2017-03-10,100000,100000.0
2017-03-13,100000,100000.0
2017-03-14,100000,100000.0
2017-03-15,100000,100000.0
2017-03-16,100000,100000.0
2017-03-17,100000,100000.0
2017-03-20,100000,100000.0
2017-03-21,100000,100000.0
2017-03-22,100000,100000.0
2017-03-23,100000,100000.0
2017-03-24,100000,100000.0
2017-03-27,100000,100000.0
2017-03-28,100000,100000.0
2017-03-29,100000,100000.0
2017-03-30,100000,100000.0
2017-03-31,100000,100000.0
2017-04-03,100000,100000.0
2017-04-04,100000,100000.0
2017-04-05,100000,100000.0
2017-04-06,100000,100000.0
2017-04-07,100000,100000.0
2017-04-10,100000,100000.0
2017-04-11,100000,100000.0
2017-04-12,100000,100000.0
2017-04-13,100000,100000.0
2017-04-17,100000,100000.0
2017-04-18,100000,100000.0
2017-04-19,100000,100000.0
2017-04-20,100000,100000.0
2017-04-21,100000,100000.0
2017-04-24,100000,100000.0
2017-04-25,100000,100000.0
2017-04-26,100000,100000.0
2017-04-27,100000,100000.0
2017-04-28,100000,100000.0
2017-05-01,100000,100000.0
2017-05-02,100000,100000.0
2017-05-03,100000,100000.0
2017-05-04,100000,100000.0
2017-05-05,100000,100000.0
2017-05-08,100000,100000.0
2017-05-09,100000,100000.0
2017-05-10,100000,100000.0
2017-05-11,100000,100000.0
2017-05-12,100000,100000.0
2017-05-15,100000,100000.0
2017-05-16,100000,100000.0
2017-05-17,100000,100000.0
2017-05-18,100000,100000.0
2017-05-19,100000,100000.0
2017-05-22,100000,100000.0
2017-05-23,100000,100000.0
2017-05-24,100000,100000.0
2017-05-25,100000,100000.0
2017-05-26,100000,100000.0
2017-05-30,100000,100000.0
2017-05-31,100000,100000.0
2017-06-01,100000,100000.0
2017-06-02,100000,100000.0
2017-06-05,100000,100000.0
2017-06-06,100000,100000.0
2017-06-07,100000,100000.0
2017-06-08,100000,100000.0
2017-06-09,100000,100000.0
2017-06-12,100000,100000.0
2017-06-13,100000,100000.0
2017-06-14,100000,100000.0
2017-06-15,100000,100000.0
2017-06-16,100000,100000.0
2017-06-19,100000,100000.0
2017-06-20,100000,100000.0
2017-06-21,100000,100000.0
2017-06-22,100000,100000.0
2017-06-23,100000,100000.0
2017-06-26,100000,100000.0
2017-06-27,100000,100000.0
2017-06-28,100000,100000.0
2017-06-29,100000,100000.0
2017-06-30,100000,100000.0
2017-07-03,100000,100000.0
2017-07-05,100000,100000.0
2017-07-06,100000,100000.0
2017-07-07,100000,100000.0
2017-07-10,100000,100000.0
2017-07-11,100000,100000.0
2017-07-12,100000,100000.0
2017-07-13,100000,100000.0
2017-07-14,99999.980,100000.2300
2017-07-17,100000.1600,100000.1600
2017-07-18,100000.1600,100000.1600
2017-07-19,100000.1600,100000.1600
2017-07-20,100000.1600,100000.1600
2017-07-21,100000.1600,100000.1600
2017-07-24,100000.1400,100000.5100
2017-07-25,100000.4200,100000.4200
2017-07-26,100000.4200,100000.4200
2017-07-27,100000.4200,100000.4200
2017-07-28,100000.4200,100000.4200
2017-07-31,100000.4000,100000.1000
2017-08-01,100000.4000,100000.4300
2017-08-02,100000.4000,100002.2000
2017-08-03,100002.1600,100002.1600
2017-08-04,100002.1600,100002.1600
2017-08-07,100002.1400,100002.5700
2017-08-08,100002.1400,100002.8900
2017-08-09,100002.1400,100003.1300
2017-08-10,100002.1400,100001.7000
2017-08-11,100002.1400,100002.2300
2017-08-14,100002.1400,100002.8300
2017-08-15,100002.1400,100003.2700
2017-08-16,100002.1400,100003.1000
2017-08-17,100002.1400,100002.3300
